abstract,abstract_no,drug,condition
"objectives: spinal meningiomas mainly occur in old patients, with a remarkable female prevalence. this study investigates the different features between younger and older patients in an adult population (>18 years). materials and methods: a surgical series of 120 adult patients operated on for spinal meningiomas at the neurosurgical clinic of the ""federico ii"" university of naples is reviewed. in this series 117 patients with a sporadic spinal meningioma were divided in two groups: group i including 30 patients (25.6%) younger than 50 years of age, group ii including 87 patients (74.4%) older than 50 years. 3 patients had a spinal meningioma and neurofibromatosis. several parameters, including sex, predisposing factors, tumor location and growth, histology, recurrences, proliferation index ki67 li, and outcome, are considered and compared in the two age groups. results: group i showed an incidence of high cervical spine (c1c4) meningiomas higher than group ii (23.3% vs 3.4%, p = 0.026) and lower rate of thoracic tumors (60% vs 82.7%, p = 0.04). no significant differences of histological type and ki67 li were found. group i had 2 cases of atypical meningiomas (6.6% vs 0%, ns). recurrences occurred in 6.6% of group i and 2.6% of group ii, with no significance. in recurrent meningiomas values of ki67 li were significantly higher than values in not recurrent meningiomas (p = 0.0001), whereas no difference of estrogen and progesterone receptor expression was noted. conclusions: younger adult patients with spinal meningiomas show not rare occurrence of nf (9%) and significantly higher incidence of high cervical and lower incidence of thoracic localizations with respect to the older patients. on the other hand, there are not significant differences of histology, ki67 li and recurrence rate, excepting for a slight difference for atypical meningiomas. © 2010 elsevier b.v. all rights reserved.",903,progesterone,meningioma
"background: the pathogenesis of meningioma in females and its association with exogenous progesterone is remained unclear. this study was aimed to examine expression of progesterone receptor (pr) and neurofibromatosis2 (nf2) and assess their relationships to history of exogenous progesterone use and risk of meningioma. methods: our study was a casecontrol study that involves 115 females, 40 cases who diagnosed with orbitocranial meningioma and 75 controls of healthy, that has been presented in previous study. the demographic characteristics, reproductive factors, and history of progesterone use were obtained indepth facetoface interviews. pr and nf2 mrna were assessed by realtime quantitative polymerase chain reaction (rtqpcr) on serum specimens. results: the mean age of participants in cases vs. controls were 46.6 ± 6.2 vs. 46.5 ± 7.45 (p = 0.969). the expression of pr and nf2 in cases was significantly lower than in controls. the longer duration of progesterone exposure was significantly associated with lower expression of pr and nf2. significant association between lower expression of pr (or 11.7; 95% ci 4.1732.9; p < 0.001 comparing the lowest quartile vs. 3 highest quartile of pr) and nf2 (or 4.23; 95% ci 1.859.67; p = 0.001 comparing the 2 lowest quartiles vs. 2 highest quartiles) with increased risk of meningioma were also reported. conclusion: in this study we showed that the longer the exposure to exogenous progesterone, the lower the expression of pr and nf2 mrna in the serum. low expression of pr and nf2 were associated with higher risk of meningioma, suggesting that low pr expression and inactivation of nf2 might play a key role in progesteroneassociated meningioma tumorigenesis and may be potential clinical marker for females at higher risk of meningioma.",1921,progesterone,meningioma
"introduction: minute pulmonary meningotheliallike nodules (mpmns) are usually detected incidentally adjacent to lung cancer tissue. the pathogenesis is unknown. mpmns reportedly share the status of neurofibromatosis (nf)2 gene with meningiomas of the central nervous system. results: immunohistochemical staining of two mpmns revealed they were positive for epithelial membrane antigen (ema), vimentin, cd56, and progesterone. we identified deletion of the nf2 gene in two mpmns and one cns meningioma. conclusions: mpmn and cns meningioma may develop via the same mechanism through nf2 translocation. further studies are required to elucidate the genetic similarities between these entities. methods: we used fluorescence in situ hybridization to explore the status of the nf2 gene in mpmns and compare it with that of cns meningiomas. we used a commercially available locusspecific probe for the nf2 region to analyze whole tissue sections of two mpmns and two cns meningiomas by fluorescence in situ hybridization.",2267,progesterone,meningioma
"• aim: to investigate neurofibromatosis type 2 (nf2) gene mutation at mrna levels in sporadic orbitocranial meningioma and its association with progesterone receptor (pr) mrna expression. • methods: this was a casecontrol study. thirtyfour sporadic meningioma patients with no familial nf2related meningioma history were recruited. they were interviewed for their obstetric, gynecologic, and contraception history. pr investigation was performed with realtime polymerase chain reaction (pcr). nf2 mutation was investigated using qbiomarker somatic mutation pcr assay at nf2 mrna level after its cdna extraction (four mrna mutation cytoband coordinates for nucleotide change: c.634c>t/ p.q212, c.655g>a/p.v219m, c.784c>t/p.r262 and c.1228c>t/p. q410). • results: after mutation analysis at mrna level, nf2 gene mutation was found in 35.29% patients. nonmutation group was strongly associated with exogenous hormonal exposure (nonmutation vs mutation: 95.5% vs 83.3%, p<0.001). pr mrna was found significantly lower in nonmutation group (p=0.033) which presumed as long term exogenous progesterone exposure. however, mutation group was associated with higher rate of progression to grade ii (mutation vs nonmutation, 18.2% vs 5%, p<0.001) and was associated more in fibrous and anaplastic tumor tissue. • conclusion: nf2 mutationmeningioma is associated with higher grade of meningioma. non nf2 mutationmeningioma is strongly associated with exogenous progesterone exposure and lower pr expression.",2580,progesterone,meningioma
"opinion statement: neurofibromatosis type 1 (nf1) and type 2 (nf2) are genetically and medically distinct neurocutaneous disorders that are both associated with tumors affecting the central and peripheral nervous systems. nf1 has a frequency of 1 in 3,000, compared with 1 in 30,000 for nf2. careful surveillance is important for both conditions, to allow early identification and treatment of complications. the most common and important problems in nf1 are cognitive impairment, optic pathway gliomas, plexiform neurofibromas, and orthopaedic issues. early intervention and tailored educational programs are indicated for learning difficulties. attention deficit hyperactivity disorder may be amenable to treatment with stimulant medication. a clinical trial is under way to evaluate lovastatin in the treatment of cognitive problems in children with nf1. chemotherapy with vincristine and carboplatin is the current standard of care for symptomatic optic pathway gliomas, but new agents with improved efficacy are needed. plexiform neurofibromas may be treated with surgery, but often recur. to date, no medical therapy has proven effective in limiting plexiform neurofibroma growth, but several candidate medications are under consideration in clinical trials. malignant peripheral nerve sheath tumors may arise in preexisting plexiform neurofibromas, so changes in tumor growth or an increase in pain or focal neurologic deficit should prompt further investigation and early treatment with wide surgical resection, with or without adjuvant chemotherapy or radiotherapy. specialist surgical intervention may be needed for scoliosis and tibial pseudoarthrosis. in nf2, surgical treatment remains a cornerstone of management for symptomatic progressive vestibular schwannomas, meningiomas, and spinal tumors. vascular endothelial growth factor inhibitors show promise for the treatment of vestibular schwannomas, with the aim of delaying surgery, and other targeted molecular therapies are becoming available as investigational options. hearing aids and brainstem and cochlear implants have a role in optimizing functional hearing in some patients. specialist ophthalmology input should be arranged to monitor for ophthalmologic complications. a coordinated effort is needed to enroll nf1 and nf2 patients in international multicenter clinical trials of promising new pharmacologic agents. genetic testing is useful for prenatal diagnosis and may be important in understanding individual responses to novel medical therapies in the future. effective transition to adult services is important, considering the likelihood of further complications in the adult years. © 2011 springer science+business media, llc.",4591,lovastatin,meningioma
"neurofibromatosis type 2 (nf2) is an autosomaldominant disease that results in the formation of bilateral vestibular schwannomas (vss) and multiple meningiomas. treatment options for nf2associated tumors are limited, and to date, no medical therapies are fda approved. the ideal chemotherapeutic agent would inhibit both vs and meningiomas simultaneously. the objectives of this study are (1) to test the efficacy of ar42, a novel histone deacetylase inhibitor, to inhibit vs and meningioma growth and (2) to investigate this drug's mechanisms of action. primary cultures of human vs and meningioma cells were established. nf2deficient mouse schwannoma and benign human meningioma benmen1 cells were also cultured. cells were treated with ar42, and the drug's effects on proliferation and the cell cycle were analyzed using a methanethiosulfonate assay and flow cytometry, respectively. human phosphokinase arrays and western blots were used to evaluate the effects of ar42 on intracellular signaling. the in vivo efficacy of ar42 was investigated using schwannoma xenografts. tumor volumes were quantified using highfield, volumetric mri, and molecular target analysis was performed using immunohistochemistry. ar42 inhibited the growth of primary human vs and nf2deficient mouse schwannoma cells with a half maximal inhibitory concentration (ic50) of 500 nm and 250350 nm, respectively. ar42 also inhibited primary meningioma cells and the benign meningioma cell line, benmen1, with ic50 values of 1.5 mm and 1.0 mm, respectively. ar42 treatment induced cellcycle arrest at g2 and apoptosis in both vs and meningioma cells. also, ar42 exposure decreased phosphorylated akt in schwannoma and meningioma cells. in vivo treatment with ar42 inhibited the growth of schwannoma xenografts, induced apoptosis, and decreased akt activation. the potent growth inhibitory activity of ar42 in schwannoma and meningioma cells suggests that ar42 should be further evaluated as a potential treatment for nf2associated tumors. © 2011 the author(s).",930,ar42,meningioma
"meningiomas constitute about 34% of primary intracranial tumors and are associated with increased mortality in patients with neurofibromatosis type 2 (nf2). to evaluate potential medical therapies for these tumors, we have established a quantifiable orthotopic model for nf2deficient meningiomas. we showed that telomeraseimmortalized benmen1 benign meningioma cells harbored a single nucleotide deletion in nf2 exon 7 and did not express the nf2 protein, merlin. we also showed that ar42, a panhistone deacetylase inhibitor, inhibited proliferation of both benmen1 and normal meningeal cells by increasing expression of p16ink4a, p21cip1/waf1, and p27kip1. in addition, ar42 increased proapoptotic bim expression and decreased antiapoptotic bclxl levels. however, ar42 predominantly arrested benmen1 cells at g2m whereas it induced cellcycle arrest at g1 in meningeal cells. consistently, ar42 substantially decreased the levels of cyclin d1, e, and a, and proliferating cell nuclear antigen in meningeal cells while significantly reducing the expression of cyclin b, important for progression through g2, in benmen1 cells. in addition, ar42 decreased aurora a and b expression. to compare the in vivo efficacies of ar42 and ar12, a pdk1 inhibitor, we generated and used luciferaseexpressing benmen1lucb cells to establish intracranial xenografts that grew over time. while ar12 treatment moderately slowed tumor growth, ar42 caused regression of benmen1lucb tumors. importantly, ar42treated tumors showed minimal regrowth when xenograftbearing mice were switched to normal diet. together, these results suggest that ar42 is a potential therapy for meningiomas. the differential effect of ar42 on cellcycle progression of normal meningeal and meningioma cells may have implications for why ar42 is welltolerated while it potently inhibits tumor growth. © 2012 aacr.",4003,ar42,meningioma
"purpose: the purpose was to reevaluate in cell culture models the therapeutic usefulness of some discussed chemotherapies or targeted therapies for meningiomas with a special emphasis on the role of the neurofibromatosis type 2 (nf2) tumor suppressor, which had been neglected so far. in addition, the study intended to evaluate a potential benefit from a treatment with drugs which are well established in other fields of medicine and have been linked recently with tumor disease by epidemiological studies. methods: meningioma cell lines corresponding to various subtypes and pairs of syngenic meningioma cell lines with or without shrnainduced nf2 knockdown were analyzed for their dosedependent response to the drugs in microtiter tetrazolium assays, brdu assays and for selected cases in elisas measuring nucleosome liberation to specifically separate cell death from pure inhibition of cell proliferation. results: we confirmed a moderate efficacy of hydroxyurea (hu) in clinically relevant concentrations. under appropriate dosing, we neither detected major responses to the alkylating compound temozolomide nor to various drugs targeting membrane receptors or enzymes (tamoxifen, erlotinib, mifepristone, losartan, metformin and verapamil). only concentrations far beyond achievable serum levels generated significant effects with the exception of losartan, which showed no effects at all. chemosensitivity varied markedly among meningioma cell lines. importantly, cells with nf2 loss exhibited a significantly higher induction of cell death by hu. conclusions: alternative chemotherapeutic or targeted approaches besides hu have still to be evaluated in further studies, and the role of nf2 must be taken into account. © 2014 springerverlag.",542,verapamil,meningioma
"background. meningiomas are the most common primary brain tumor in adults, and somatic loss of the neurofibromatosis 2 (nf2) tumor suppressor gene is a frequent genetic event. there is no effective treatment for tumors that recur or continue to grow despite surgery and/or radiation. therefore, targeted therapies that either delay tumor progression or cause tumor shrinkage are much needed. our earlier work established mammalian target of rapamycin complex mtorc1/mtorc2 activation in nf2deficient meningiomas. methods. highthroughput kinome analyses were performed in nf2null human arachnoidal and meningioma cell lines to identify functional kinome changes upon nf2 loss. immunoblotting confirmed the activation of kinases and demonstrated effectiveness of drugs to block the activation. drugs, singly and in combination, were screened in cells for their growth inhibitory activity. antitumor drug efficacy was tested in an orthotopic meningioma model. results. erythropoietinproducing hepatocellular receptor tyrosine kinases (eph rtks), ckit, and src family kinase (sfk) members, which are biological targets of dasatinib, were among the top candidates activated in nf2null cells. dasatinib significantly inhibited phosphoeph receptor a2 (pepha2), pephb1, ckit, and src/sfk in nf2null cells, showing no crosstalk with mtorc1/2 signaling. posttreatment kinome analyses showed minimal adaptive changes. while dasatinib treatment showed some activity, dual mtorc1/2 inhibitor and its combination with dasatinib elicited stronger growth inhibition in meningiomas. conclusion. cotargeting mtorc1/2 and eph rtk/sfk pathways could be a novel effective treatment strategy for nf2deficient meningiomas.",2053,dasatinib,meningioma
"patients with neurofibromatosis type 1 (nf1) and neurofibromatosis type 2 (nf2) are predisposed to tumors of the nervous system. nf1 patients predominantly develop neurofibromas, and malignant peripheral nerve sheath tumors (mpnst) while nf2 patients develop schwannomas and meningiomas. here we quantified the drug sensitivities of nf1 and nf2 tumor cell lines in a high throughput platform. the platform contained a comprehensive collection of inhibitors of mek, raf, ras, farnesyl transferase, pak and erk, representative drugs against many other cancer pathways including wnt, hedgehog, p53, egf, hdac, as well as classical cytotoxic agents recommended for treating mpnst, such as doxorubicin and etoposide. we profiled seven nf1associated mpnst cell lines (st8814, st883, 908, snf02.2, t265, s462ty, snf96.2), one sporadic mpnst cell line (sts26), one schwannoma from a nf2 patient (hei193), one nf2deficient malignant meningioma (kt21mgluc5d), one mouse nf2 schwannoma (sc4) and one sporadic rat schwannoma (rt467 or rt4). nf1 cells were primarily distinguished from nf2 cells and the sporadic mpnst cell line by their sensitivity to mek and erk inhibitors, and to a smaller extent their sensitivity to bh3 mimetics and farnesyl transferase inhibitors. the platform was highly successful in predicting the effects of clinical trials for neurofibromas.",595,etoposide,meningioma
"loss of the tumor suppressor merlin causes development of the tumors of the nervous system, such as schwannomas, meningiomas, and ependymomas occurring spontaneously or as part of a hereditary disease neurofibromatosis type 2 (nf2). current therapies, (radio) surgery, are not always effective. therefore, there is a need for drug treatments for these tumors. schwannomas are the most frequent of merlindeficient tumors and are hallmark for nf2. using our in vitro human schwannoma model, we demonstrated that merlindeficiency leads to increased proliferation, cellmatrix adhesion, and survival. increased proliferation due to strong activation of extracellularsignalregulated kinase 1/2 (erk1/2) is caused by overexpression/activation of plateletderived growth factor receptorβ (pdgfrβ) and erbb2/3 which we successfully blocked with azd6244, sorafenib, or lapatinib. schwannoma basal proliferation is, however, only partly dependent on pdgfrβ and is completely independent of erbb2/3. moreover, the mechanisms underlying pathological cellmatrix adhesion and survival of schwannoma cells are still not fully understood. here, we demonstrate that insulinlike growth factori receptor (igfir) is strongly overexpressed and activated in human primary schwannoma cells. igfi and ii are overexpressed and released from schwannoma cells. we show that erk1/2 is relevant for igfimediated increase in proliferation and cellmatrix adhesion, cjun nterminal kinases for increased proliferation and akt for survival. we demonstrate new mechanisms involved in increased basal proliferation, cellmatrix adhesion, and survival of schwannoma cells. we identified therapeutic targets igfir and downstream pi3k for treatment of schwannoma and other merlindeficient tumors and show usefulness of small molecule inhibitors in our model. pi3k is relevant for both igfir and previously described pdgfrβ signaling in schwannoma. © 2012 wiley periodicals, inc.",683,apatinib,meningioma
