std_name,model_name,median,mean,min,max,disease_name,symptom_name
(+)-JQ1,MTC,0.98006385,0.861067091,0.537814913,1.076150276,no disease,no symptom
(+)-JQ1,Syn1,0.45381426,0.466422833,-0.02669176,1.8775092,no disease,no symptom
(+)-JQ1,Syn5,0.4326101,0.46144631,-0.016439,1.273868,NF2,no symptom
(+)-JQ1,ipNF05.5 (mixed clone),0.893179359,0.878143718,0.587242802,1.113639369,NF1,pNF
(+)-JQ1,ipNF05.5 (single clone),0.905537188,0.909734287,0.716286939,1.164232743,NF1,pNF
(+)-JQ1,ipNF06.2A,0.843095878,0.846803913,0.646845285,1.066330029,NF1,pNF
(+)-JQ1,ipNF95.11b C,0.755154802,0.7505424,0.13472226,1.258298377,NF1,pNF
(+)-JQ1,ipNF95.11b C/T,1.046031976,1.054913866,0.628283244,1.257973713,NF1,pNF
(+)-JQ1,ipNF95.6,0.952879712,0.926264266,0.733976918,1.060878494,NF1,pNF
(+)-JQ1,ipn02.3,0.860156372,0.845844284,0.206357063,1.150850047,no disease,no symptom
(+)-JQ1,ipn02.8,0.548547017,0.55197661,0.225327925,0.832419133,no disease,no symptom
(+)-JQ1,ipnNF95.11C,0.870825754,0.89068479,0.750519374,1.093723627,NF1,pNF
(2S)-1-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}-3-PHENYLPROPAN-2-AMINE,Ben-Men-1,0.969412843,0.832843457,0.221829103,1.178884216,NF2,meningioma
(2S)-1-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}-3-PHENYLPROPAN-2-AMINE,HFF,1.085129754,0.942189786,0.085984206,1.149465811,no disease,no symptom
(2S)-1-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}-3-PHENYLPROPAN-2-AMINE,HS01,1.000730578,0.768155763,0.063672833,1.197316791,NF2,no symptom
(2S)-1-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}-3-PHENYLPROPAN-2-AMINE,MS02,0.590404629,0.481875496,0.027120952,0.615093556,NF2,schwannoma
(2S)-1-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}-3-PHENYLPROPAN-2-AMINE,MTC,1.052500584,0.92443682,0.204173153,1.129048404,no disease,no symptom
(2S)-1-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}-3-PHENYLPROPAN-2-AMINE,N10,0.694051585,0.624839552,-0.004445405,1.086794692,no disease,no symptom
(2S)-1-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}-3-PHENYLPROPAN-2-AMINE,N5,0.695610211,0.667391893,-0.002352867,1.343051852,NF1,no symptom
(2S)-1-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}-3-PHENYLPROPAN-2-AMINE,Syn1,1.084384507,0.872188164,0.170554362,1.167051687,no disease,no symptom
(2S)-1-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}-3-PHENYLPROPAN-2-AMINE,Syn5,1.037835029,0.87179359,0.281196477,1.255172138,NF2,no symptom
(2S)-1-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}-3-PHENYLPROPAN-2-AMINE,ipNF05.5 (mixed clone),1.239891307,1.060864347,0.048829204,1.448594526,NF1,pNF
(2S)-1-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}-3-PHENYLPROPAN-2-AMINE,ipNF05.5 (single clone),1.182035993,1.008798305,0.048258471,1.441244767,NF1,pNF
(2S)-1-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}-3-PHENYLPROPAN-2-AMINE,ipNF06.2A,0.917741303,0.852622753,0.55666297,1.073786317,NF1,pNF
(2S)-1-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}-3-PHENYLPROPAN-2-AMINE,ipNF95.11b C,1.011614283,0.763565033,0.008625468,1.178844155,NF1,pNF
(2S)-1-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}-3-PHENYLPROPAN-2-AMINE,ipNF95.11b C/T,1.002581017,0.821249267,0.028497702,1.130599379,NF1,pNF
(2S)-1-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}-3-PHENYLPROPAN-2-AMINE,ipNF95.6,1.030598286,0.867287693,0.025104098,1.191384911,NF1,pNF
(2S)-1-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}-3-PHENYLPROPAN-2-AMINE,ipn02.3,1.008801816,0.797954053,0.021586807,1.166498289,no disease,no symptom
(2S)-1-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}-3-PHENYLPROPAN-2-AMINE,ipn02.8,0.684992067,0.687292869,0.247257944,1.047128318,no disease,no symptom
(2S)-1-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}-3-PHENYLPROPAN-2-AMINE,ipnNF95.11C,1.012056757,0.895503126,0.289289514,1.106115737,NF1,pNF
(2S)-3-[4-(acetylamino)phenoxy]-2-hydroxy-2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide,Ben-Men-1,0.766007545,0.786295753,0.569520727,0.98761783,NF2,meningioma
(2S)-3-[4-(acetylamino)phenoxy]-2-hydroxy-2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide,HFF,1.028386333,1.035452644,0.976010515,1.07047789,no disease,no symptom
(2S)-3-[4-(acetylamino)phenoxy]-2-hydroxy-2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide,HS01,1.001319688,0.997585627,0.915130493,1.071492647,NF2,no symptom
(2S)-3-[4-(acetylamino)phenoxy]-2-hydroxy-2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide,MS02,0.908629023,0.892945206,0.751003599,0.92747146,NF2,schwannoma
(2S)-3-[4-(acetylamino)phenoxy]-2-hydroxy-2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide,MTC,0.950839575,0.935312777,0.79193638,1.033776666,no disease,no symptom
(2S)-3-[4-(acetylamino)phenoxy]-2-hydroxy-2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide,Syn1,0.569172276,0.590105055,0.353540082,0.854440199,no disease,no symptom
(2S)-3-[4-(acetylamino)phenoxy]-2-hydroxy-2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide,Syn5,0.900505962,0.892554373,0.736754625,0.987138709,NF2,no symptom
(2S)-3-[4-(acetylamino)phenoxy]-2-hydroxy-2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide,ipNF05.5 (mixed clone),0.86294926,0.831607569,0.649140981,0.950717085,NF1,pNF
(2S)-3-[4-(acetylamino)phenoxy]-2-hydroxy-2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide,ipNF05.5 (single clone),0.742022447,0.730841859,0.598746075,0.870958826,NF1,pNF
(2S)-3-[4-(acetylamino)phenoxy]-2-hydroxy-2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide,ipNF06.2A,0.971932899,0.931643363,0.792222568,1.068264899,NF1,pNF
(2S)-3-[4-(acetylamino)phenoxy]-2-hydroxy-2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide,ipNF95.11b C,0.941118857,0.91121106,0.356297778,1.176132244,NF1,pNF
(2S)-3-[4-(acetylamino)phenoxy]-2-hydroxy-2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide,ipNF95.11b C/T,1.088351425,1.071574367,0.951455191,1.134031199,NF1,pNF
(2S)-3-[4-(acetylamino)phenoxy]-2-hydroxy-2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide,ipNF95.6,0.957239067,0.969015094,0.908461952,1.063109082,NF1,pNF
(2S)-3-[4-(acetylamino)phenoxy]-2-hydroxy-2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide,ipn02.3,1.014538601,0.99746301,0.783110757,1.079517044,no disease,no symptom
(2S)-3-[4-(acetylamino)phenoxy]-2-hydroxy-2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide,ipn02.8,0.892643894,0.85085587,0.461049614,1.059237905,no disease,no symptom
(2S)-3-[4-(acetylamino)phenoxy]-2-hydroxy-2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide,ipnNF95.11C,0.986945949,0.960047704,0.813674004,1.072874891,NF1,pNF
"(3-{3-[[2-Chloro-3-(Trifluoromethyl)Benzyl](2,2-Diphenylethyl)Amino]Propoxy}Phenyl)Acetic Acid",Ben-Men-1,1.116290092,1.106968076,0.816601453,1.25521601,NF2,meningioma
"(3-{3-[[2-Chloro-3-(Trifluoromethyl)Benzyl](2,2-Diphenylethyl)Amino]Propoxy}Phenyl)Acetic Acid",HFF,1.115079133,1.102800193,1.012953818,1.156940642,no disease,no symptom
"(3-{3-[[2-Chloro-3-(Trifluoromethyl)Benzyl](2,2-Diphenylethyl)Amino]Propoxy}Phenyl)Acetic Acid",HS01,1.051447068,0.929458205,0.049516678,1.081254376,NF2,no symptom
"(3-{3-[[2-Chloro-3-(Trifluoromethyl)Benzyl](2,2-Diphenylethyl)Amino]Propoxy}Phenyl)Acetic Acid",MS02,0.956215072,0.890039482,0.042705057,1.06998925,NF2,schwannoma
"(3-{3-[[2-Chloro-3-(Trifluoromethyl)Benzyl](2,2-Diphenylethyl)Amino]Propoxy}Phenyl)Acetic Acid",MTC,1.052176579,1.057192293,0.942815757,1.204955468,no disease,no symptom
"(3-{3-[[2-Chloro-3-(Trifluoromethyl)Benzyl](2,2-Diphenylethyl)Amino]Propoxy}Phenyl)Acetic Acid",Syn1,1.144244993,1.135539778,0.986448867,1.252681363,no disease,no symptom
"(3-{3-[[2-Chloro-3-(Trifluoromethyl)Benzyl](2,2-Diphenylethyl)Amino]Propoxy}Phenyl)Acetic Acid",Syn5,1.119761936,1.099961745,0.661303084,1.308967619,NF2,no symptom
"(3-{3-[[2-Chloro-3-(Trifluoromethyl)Benzyl](2,2-Diphenylethyl)Amino]Propoxy}Phenyl)Acetic Acid",ipNF05.5 (mixed clone),0.948220629,0.900415414,0.734936571,1.0204095,NF1,pNF
"(3-{3-[[2-Chloro-3-(Trifluoromethyl)Benzyl](2,2-Diphenylethyl)Amino]Propoxy}Phenyl)Acetic Acid",ipNF05.5 (single clone),1.050959893,0.996550733,0.845814852,1.112728251,NF1,pNF
"(3-{3-[[2-Chloro-3-(Trifluoromethyl)Benzyl](2,2-Diphenylethyl)Amino]Propoxy}Phenyl)Acetic Acid",ipNF06.2A,1.064402617,1.06951274,0.910243591,1.204423338,NF1,pNF
"(3-{3-[[2-Chloro-3-(Trifluoromethyl)Benzyl](2,2-Diphenylethyl)Amino]Propoxy}Phenyl)Acetic Acid",ipNF95.11b C,1.070106862,0.958661696,0.226257398,1.327973199,NF1,pNF
"(3-{3-[[2-Chloro-3-(Trifluoromethyl)Benzyl](2,2-Diphenylethyl)Amino]Propoxy}Phenyl)Acetic Acid",ipNF95.11b C/T,1.091106205,1.082323624,0.888529346,1.152204434,NF1,pNF
"(3-{3-[[2-Chloro-3-(Trifluoromethyl)Benzyl](2,2-Diphenylethyl)Amino]Propoxy}Phenyl)Acetic Acid",ipNF95.6,1.114728085,1.110273048,1.006552753,1.190208419,NF1,pNF
"(3-{3-[[2-Chloro-3-(Trifluoromethyl)Benzyl](2,2-Diphenylethyl)Amino]Propoxy}Phenyl)Acetic Acid",ipn02.3,1.062334648,1.025735495,0.842538484,1.120430712,no disease,no symptom
"(3-{3-[[2-Chloro-3-(Trifluoromethyl)Benzyl](2,2-Diphenylethyl)Amino]Propoxy}Phenyl)Acetic Acid",ipn02.8,0.869271019,0.878617019,0.763910972,0.980520592,no disease,no symptom
"(3-{3-[[2-Chloro-3-(Trifluoromethyl)Benzyl](2,2-Diphenylethyl)Amino]Propoxy}Phenyl)Acetic Acid",ipnNF95.11C,1.028567931,1.033475159,0.975042651,1.090961735,NF1,pNF
"(3e)-6'-Bromo-2,3'-Biindole-2',3(1h,1'h)-Dione 3-Oxime",Ben-Men-1,0.981460086,0.970867026,0.841637047,1.120077858,NF2,meningioma
"(3e)-6'-Bromo-2,3'-Biindole-2',3(1h,1'h)-Dione 3-Oxime",HFF,1.111102813,1.081957777,0.946418602,1.155176742,no disease,no symptom
"(3e)-6'-Bromo-2,3'-Biindole-2',3(1h,1'h)-Dione 3-Oxime",HS01,1.035369282,0.936195085,0.369362579,1.226686839,NF2,no symptom
"(3e)-6'-Bromo-2,3'-Biindole-2',3(1h,1'h)-Dione 3-Oxime",MS02,0.635783808,0.585843699,0.287582596,0.673446177,NF2,schwannoma
"(3e)-6'-Bromo-2,3'-Biindole-2',3(1h,1'h)-Dione 3-Oxime",MTC,1.069679351,1.085395205,0.973013137,1.170436997,no disease,no symptom
"(3e)-6'-Bromo-2,3'-Biindole-2',3(1h,1'h)-Dione 3-Oxime",Syn1,1.064895327,1.052409255,0.898848124,1.155493545,no disease,no symptom
"(3e)-6'-Bromo-2,3'-Biindole-2',3(1h,1'h)-Dione 3-Oxime",Syn5,0.970206254,0.979305123,0.812597061,1.114059048,NF2,no symptom
"(3e)-6'-Bromo-2,3'-Biindole-2',3(1h,1'h)-Dione 3-Oxime",ipNF05.5 (mixed clone),0.988719468,0.811843633,0.035291647,1.330434741,NF1,pNF
"(3e)-6'-Bromo-2,3'-Biindole-2',3(1h,1'h)-Dione 3-Oxime",ipNF05.5 (single clone),1.013267184,0.906033759,0.038356294,1.40545067,NF1,pNF
"(3e)-6'-Bromo-2,3'-Biindole-2',3(1h,1'h)-Dione 3-Oxime",ipNF06.2A,1.03349465,0.883540827,0.047980699,1.097647863,NF1,pNF
"(3e)-6'-Bromo-2,3'-Biindole-2',3(1h,1'h)-Dione 3-Oxime",ipNF95.11b C,0.82498014,0.711541547,-0.005797569,1.320679053,NF1,pNF
"(3e)-6'-Bromo-2,3'-Biindole-2',3(1h,1'h)-Dione 3-Oxime",ipNF95.11b C/T,1.020390954,0.894269069,0.073251622,1.122510123,NF1,pNF
"(3e)-6'-Bromo-2,3'-Biindole-2',3(1h,1'h)-Dione 3-Oxime",ipNF95.6,1.064716567,0.938169099,0.08705906,1.155989228,NF1,pNF
"(3e)-6'-Bromo-2,3'-Biindole-2',3(1h,1'h)-Dione 3-Oxime",ipn02.3,1.066117191,0.936083118,0.101232466,1.155734428,no disease,no symptom
"(3e)-6'-Bromo-2,3'-Biindole-2',3(1h,1'h)-Dione 3-Oxime",ipn02.8,0.878710816,0.80017165,0.043100876,1.092467211,no disease,no symptom
"(3e)-6'-Bromo-2,3'-Biindole-2',3(1h,1'h)-Dione 3-Oxime",ipnNF95.11C,1.035725443,0.877118719,0.025395319,1.091335975,NF1,pNF
"(5E)-5-[(2,2-DIFLUORO-1,3-BENZODIOXOL-5-YL)METHYLENE]-1,3-THIAZOLIDINE-2,4-DIONE",Ben-Men-1,0.989237337,0.942930657,0.582879254,1.075205868,NF2,meningioma
"(5E)-5-[(2,2-DIFLUORO-1,3-BENZODIOXOL-5-YL)METHYLENE]-1,3-THIAZOLIDINE-2,4-DIONE",HFF,1.068904666,1.065228646,0.992868447,1.133184956,no disease,no symptom
"(5E)-5-[(2,2-DIFLUORO-1,3-BENZODIOXOL-5-YL)METHYLENE]-1,3-THIAZOLIDINE-2,4-DIONE",HS01,1.056340709,1.041914401,0.871937738,1.121933659,NF2,no symptom
"(5E)-5-[(2,2-DIFLUORO-1,3-BENZODIOXOL-5-YL)METHYLENE]-1,3-THIAZOLIDINE-2,4-DIONE",MS02,0.600506163,0.581326653,0.415578992,0.632944449,NF2,schwannoma
"(5E)-5-[(2,2-DIFLUORO-1,3-BENZODIOXOL-5-YL)METHYLENE]-1,3-THIAZOLIDINE-2,4-DIONE",MTC,1.052812945,1.019608759,0.864783687,1.067603587,no disease,no symptom
"(5E)-5-[(2,2-DIFLUORO-1,3-BENZODIOXOL-5-YL)METHYLENE]-1,3-THIAZOLIDINE-2,4-DIONE",Syn1,0.998560092,0.91486418,0.291342889,1.115225463,no disease,no symptom
"(5E)-5-[(2,2-DIFLUORO-1,3-BENZODIOXOL-5-YL)METHYLENE]-1,3-THIAZOLIDINE-2,4-DIONE",Syn5,1.07387102,1.026774702,0.435879132,1.126901968,NF2,no symptom
"(5E)-5-[(2,2-DIFLUORO-1,3-BENZODIOXOL-5-YL)METHYLENE]-1,3-THIAZOLIDINE-2,4-DIONE",ipNF05.5 (mixed clone),1.293861419,1.224881158,0.790720985,1.394374127,NF1,pNF
"(5E)-5-[(2,2-DIFLUORO-1,3-BENZODIOXOL-5-YL)METHYLENE]-1,3-THIAZOLIDINE-2,4-DIONE",ipNF05.5 (single clone),1.286636985,1.214464268,0.873020992,1.415407171,NF1,pNF
"(5E)-5-[(2,2-DIFLUORO-1,3-BENZODIOXOL-5-YL)METHYLENE]-1,3-THIAZOLIDINE-2,4-DIONE",ipNF06.2A,1.015700297,0.992125222,0.798239851,1.129338488,NF1,pNF
"(5E)-5-[(2,2-DIFLUORO-1,3-BENZODIOXOL-5-YL)METHYLENE]-1,3-THIAZOLIDINE-2,4-DIONE",ipNF95.11b C,1.006586282,0.998939758,0.810930327,1.131972317,NF1,pNF
"(5E)-5-[(2,2-DIFLUORO-1,3-BENZODIOXOL-5-YL)METHYLENE]-1,3-THIAZOLIDINE-2,4-DIONE",ipNF95.11b C/T,1.095738386,1.052969256,0.774353544,1.138906644,NF1,pNF
"(5E)-5-[(2,2-DIFLUORO-1,3-BENZODIOXOL-5-YL)METHYLENE]-1,3-THIAZOLIDINE-2,4-DIONE",ipNF95.6,1.095453393,1.072956013,0.876047623,1.168776543,NF1,pNF
"(5E)-5-[(2,2-DIFLUORO-1,3-BENZODIOXOL-5-YL)METHYLENE]-1,3-THIAZOLIDINE-2,4-DIONE",ipn02.3,1.134920416,1.097695263,0.715652861,1.203040249,no disease,no symptom
"(5E)-5-[(2,2-DIFLUORO-1,3-BENZODIOXOL-5-YL)METHYLENE]-1,3-THIAZOLIDINE-2,4-DIONE",ipn02.8,1.143736902,1.122001941,0.913125758,1.212927581,no disease,no symptom
"(5E)-5-[(2,2-DIFLUORO-1,3-BENZODIOXOL-5-YL)METHYLENE]-1,3-THIAZOLIDINE-2,4-DIONE",ipnNF95.11C,0.986828578,0.980431952,0.918056896,1.029111616,NF1,pNF
(R)-Bicalutamide,Ben-Men-1,1.126337003,0.981483669,0.08097959,1.19821811,NF2,meningioma
(R)-Bicalutamide,HFF,1.108713581,1.133680306,1.078090937,1.300732422,no disease,no symptom
(R)-Bicalutamide,HS01,0.87239619,0.841978961,0.351045876,0.990028273,NF2,no symptom
(R)-Bicalutamide,MS02,0.958482693,0.895476566,0.275124726,0.989660299,NF2,schwannoma
(R)-Bicalutamide,MTC,1.12365959,1.106699351,0.863463549,1.208814622,no disease,no symptom
(R)-Bicalutamide,Syn1,1.076598113,1.046981479,0.943747139,1.118013469,no disease,no symptom
(R)-Bicalutamide,Syn5,0.981079401,0.965683985,0.289835588,1.252754209,NF2,no symptom
(R)-Bicalutamide,ipNF05.5 (mixed clone),1.014552809,1.074332659,0.904289376,1.357542381,NF1,pNF
(R)-Bicalutamide,ipNF05.5 (single clone),1.024218427,1.023070853,0.861084198,1.242941955,NF1,pNF
(R)-Bicalutamide,ipNF06.2A,1.074135107,1.069016235,0.892596537,1.212136367,NF1,pNF
(R)-Bicalutamide,ipNF95.11b C,0.987750365,0.917799757,0.041123957,1.37605094,NF1,pNF
(R)-Bicalutamide,ipNF95.11b C/T,0.949150084,0.776409964,0.058559189,1.084107158,NF1,pNF
(R)-Bicalutamide,ipNF95.6,1.075988166,0.943702866,0.225324158,1.12030913,NF1,pNF
(R)-Bicalutamide,ipn02.3,0.963976675,0.857412981,0.187885001,1.088926393,no disease,no symptom
(R)-Bicalutamide,ipn02.8,0.865126913,0.773629748,0.206658308,0.959747677,no disease,no symptom
(R)-Bicalutamide,ipnNF95.11C,1.05967823,1.064021501,0.938340894,1.200940953,NF1,pNF
(R)-Rolipram,Ben-Men-1,1.02328528,0.939848193,0.180788702,1.154308379,NF2,meningioma
(R)-Rolipram,HFF,1.108955559,1.103989574,1.019944335,1.157717854,no disease,no symptom
(R)-Rolipram,HS01,1.044112975,1.044747173,0.796608788,1.198016862,NF2,no symptom
(R)-Rolipram,MS02,1.024065086,1.012256515,0.943561588,1.077065484,NF2,schwannoma
(R)-Rolipram,MTC,1.049969815,1.038499944,0.945191851,1.097080809,no disease,no symptom
(R)-Rolipram,Syn1,0.87400704,0.699463639,0.136586681,1.091663338,no disease,no symptom
(R)-Rolipram,Syn5,1.041389367,0.860414137,0.080674954,1.156133896,NF2,no symptom
(R)-Rolipram,ipNF05.5 (mixed clone),1.05309538,0.950570438,0.543843475,1.227728481,NF1,pNF
(R)-Rolipram,ipNF05.5 (single clone),1.220283209,1.079216495,0.674869333,1.29389469,NF1,pNF
(R)-Rolipram,ipNF06.2A,1.02193332,1.019005938,0.910490665,1.094356901,NF1,pNF
(R)-Rolipram,ipNF95.11b C,1.120746732,0.97046479,0.285574776,1.341281652,NF1,pNF
(R)-Rolipram,ipNF95.11b C/T,0.966325897,0.833833344,0.463352165,1.124817743,NF1,pNF
(R)-Rolipram,ipNF95.6,1.209169136,1.151470853,0.730447585,1.309976492,NF1,pNF
(R)-Rolipram,ipn02.3,1.00231652,0.949234057,0.561904074,1.046839256,no disease,no symptom
(R)-Rolipram,ipn02.8,0.966889027,0.975234079,0.875934447,1.066737173,no disease,no symptom
(R)-Rolipram,ipnNF95.11C,1.026693644,1.00875635,0.910303965,1.049830197,NF1,pNF
(S)-blebbistatin,Ben-Men-1,0.956615898,0.965989998,0.868927456,1.08204191,NF2,meningioma
(S)-blebbistatin,HFF,0.999239059,0.997997864,0.941597826,1.067939151,no disease,no symptom
(S)-blebbistatin,HS01,0.989857025,0.972189729,0.638275257,1.102335643,NF2,no symptom
(S)-blebbistatin,MS02,0.839613224,0.805136619,0.499551911,0.888197091,NF2,schwannoma
(S)-blebbistatin,MTC,1.031171065,1.016489848,0.929254815,1.124341527,no disease,no symptom
(S)-blebbistatin,Syn1,1.002185992,0.985038696,0.891511131,1.106111534,no disease,no symptom
(S)-blebbistatin,Syn5,0.934580361,0.932209034,0.836368188,1.006624051,NF2,no symptom
(S)-blebbistatin,ipNF05.5 (mixed clone),1.581061675,1.511831948,0.694387638,1.7695665,NF1,pNF
(S)-blebbistatin,ipNF05.5 (single clone),1.567703014,1.474778407,0.852484413,1.634191346,NF1,pNF
(S)-blebbistatin,ipNF06.2A,1.02936469,1.00290626,0.73194952,1.210092243,NF1,pNF
(S)-blebbistatin,ipNF95.11b C,1.280513643,1.196104131,0.326294558,1.737915347,NF1,pNF
(S)-blebbistatin,ipNF95.11b C/T,1.15939445,1.136240987,0.939352647,1.274954395,NF1,pNF
(S)-blebbistatin,ipNF95.6,1.108247312,1.065069661,0.573982393,1.198441405,NF1,pNF
(S)-blebbistatin,ipn02.3,1.211150258,1.169179756,0.773326688,1.273120896,no disease,no symptom
